,price,location,baths,bedrooms,Total_Area
22534,165.0,G-13,5,4,11979.043999999998
22535,270.0,G-13,6,6,2178.008
22536,320.0,G-13,6,5,2178.008
22537,152.0,G-13,5,4,11979.043999999998
22538,495.0,DHA Defence,7,6,5445.0
22539,158.0,G-13,5,5,11979.043999999998
22540,165.0,G-13,5,4,11979.043999999998
22541,825.0,F-10,7,6,70785.0
22545,390.0,G-9,3,3,2722.51
22546,475.0,DHA Defence,6,6,5445.0
22548,475.0,DHA Defence,6,6,5445.0
22549,270.0,DHA Defence,4,4,2722.51
22550,475.0,DHA Defence,6,6,5445.0
22551,450.0,E-11,6,6,2722.51
22552,185.0,DHA Defence,5,5,1361.255
22577,450.0,G-10,7,7,40565.399
22578,230.0,G-8,4,4,15246.056
22579,23.0,DHA Defence,2,2,1361.255
22581,450.0,DHA Defence,6,6,5445.0
22582,130.0,Bahria Town,3,3,1361.255
22583,72.0,DHA Defence,3,3,2178.008
22584,200.0,Bahria Town,5,5,2178.008
22585,445.0,DHA Defence,6,6,5445.0
22607,455.0,DHA Defence,7,6,5445.0
22608,525.0,DHA Defence,6,6,5445.0
22609,72.0,DHA Defence,3,3,2178.008
22611,165.0,G-13,5,5,1089.004
22612,310.0,G-13,6,5,2178.008
22613,31.0,DHA Defence,2,2,1361.255
22614,500.0,DHA Defence,6,6,5445.0
22616,300.0,DHA Defence,5,5,2722.51
22617,36.0,DHA Defence,2,2,1361.255
22618,28.0,DHA Defence,2,2,1361.255
22636,160.0,Faisal Town - F-18,4,4,2178.008
22637,25.0,Ali Pur,2,3,7623.027999999999
22638,23.0,DHA Defence,2,2,1361.255
22639,75.0,DHA Defence,4,3,2178.008
22640,61.0,DHA Defence,4,3,2178.008
22641,45.0,DHA Defence,4,3,2178.008
22642,300.0,G-11,4,4,1905.757
22652,1000.0,I-16,3,3,2178.008
22653,275.0,Bahria Town,6,5,2722.51
22655,45.0,Bani Gala,2,2,1361.255
22656,110.0,Soan Garden,5,4,1905.757
22667,195.0,DHA Defence,4,3,2994.7609999999995
22668,65.0,Bhara kahu,4,4,1361.255
22669,250.0,G-9,4,6,37026.136
22671,450.0,DHA Defence,6,5,5445.0
22672,450.0,DHA Defence,6,5,5445.0
22674,390.0,DHA Defence,9,8,81675.0
22675,550.0,E-11,7,6,4356.016
22707,120.0,Ghauri Town,5,6,1633.506
22708,3000.0,F-7,10,9,10890.0
22709,2125.0,F-10,10,11,130680.0
22710,65.0,Ghauri Town,5,6,1089.004
22711,165.0,PWD Housing Scheme,6,5,2178.008
22746,460.0,Bahria Town,6,5,5445.0
22747,53.0,Simly Dam Road,4,4,1361.255
22748,115.0,Ghauri Town,5,4,1089.004
22749,465.0,Bahria Town,7,5,5445.0
22750,850.0,F-7,7,7,65340.0
22751,350.0,G-15,10,10,38659.642
22752,300.0,G-11,4,4,2178.008
22771,150.0,Bahria Town,4,4,1361.255
22772,35.0,G-15,3,3,1361.255
22773,58.0,Ghauri Town,3,2,1361.255
22796,430.0,DHA Defence,7,7,5445.0
22799,195.0,G-15,5,5,2178.008
22800,190.0,G-15,5,5,2178.008
22801,265.0,G-15,5,5,38659.642
22802,255.0,G-15,5,5,38659.642
22816,310.0,F-11,1,4,1905.757
22817,450.0,F-11,7,6,2722.51
22818,350.0,G-10,4,4,2722.51
22820,750.0,F-10,6,5,5445.0
22822,700.0,F-11,6,5,5445.0
22825,135.0,Soan Garden,6,5,20691.076
22826,367.0,DHA Defence,6,6,4356.016
22842,145.0,Soan Garden,7,7,27497.351
22843,195.0,Soan Garden,5,5,25319.343
22862,95.0,Soan Garden,3,3,18240.817
22863,450.0,E-11,6,5,2722.51
22864,315.0,G-11,5,5,2178.008
22865,125.0,Soan Garden,4,4,15246.056
22867,155.0,Soan Garden,4,4,25319.343
22869,55.0,Shaheen Town,3,2,1361.255
22870,165.0,CBR Town,5,5,2178.008
22871,220.0,CBR Town,7,7,38659.642
22873,3500.0,F-7,10,10,98010.0
22875,175.0,PWD Housing Scheme,6,5,25319.343
22876,170.0,PWD Housing Scheme,4,4,25319.343
22918,380.0,DHA Defence,7,6,5445.0
22919,540.0,DHA Defence,7,6,5445.0
22921,460.0,DHA Defence,6,5,5445.0
22922,410.0,DHA Defence,6,5,5445.0
22923,610.0,G-13,9,9,65340.0
22925,16.5,Alipur Farash,2,3,272.251
22926,43.0,Park Road,3,3,1089.004
22944,52.0,Taramrri,3,2,1361.255
22945,250.0,G-9,7,4,15246.056
22946,260.0,G-9,4,4,18240.817
22947,300.0,G-8,5,5,2450.259
22948,215.0,G-9,3,4,15246.056
22950,245.0,G-9,4,4,18240.817
22951,250.0,G-9,4,4,18240.817
22952,300.0,G-9,4,5,29675.359
22954,37.0,Thanda Pani,4,4,816.7529999999999
22955,90.0,Model Town,4,4,1905.757
22956,300.0,Bahria Town,5,5,2722.51
22957,200.0,DHA Defence,3,3,2994.7609999999995
22960,285.0,E-11,5,4,1633.506
23007,220.0,G-9,3,4,18240.817
23008,195.0,G-9,3,3,18240.817
23010,395.0,G-8,4,4,38659.642
23011,220.0,G-8,4,4,1633.506
23012,168.0,D-12,3,3,11979.043999999998
23013,155.0,G-13,5,4,11979.043999999998
23014,165.0,G-13,5,4,11979.043999999998
23015,267.0,G-13,6,5,2178.008
23016,280.0,G-13,6,5,1905.757
23017,265.0,G-13,6,5,2178.008
23018,18.5,Ali Pur,2,2,1089.004
23021,270.0,FECHS,6,6,3267.012
23023,260.0,E-11,4,4,18240.817
23024,55.0,Bhara kahu,2,2,14973.804999999998
23025,168.0,G-13,5,3,1089.004
23072,170.0,G-13,5,3,1089.004
23075,290.0,National Police Foundation O-9,10,7,5445.0
23076,42.0,Tarlai,2,2,816.7529999999999
23079,305.0,G-13,6,5,2178.008
23080,375.0,G-13,6,6,2722.51
23082,160.0,I-10,4,4,1633.506
23083,165.0,Ghauri Town,3,3,28586.355
23085,450.0,DHA Defence,6,5,5445.0
23087,350.0,G-13,6,6,2722.51
23089,500.0,G-13,8,7,4356.016
23092,105.0,I-14,2,2,15246.056
23094,158.0,G-13,5,3,1089.004
23095,275.0,F-17,10,10,38659.642
23096,120.0,Pakistan Town,3,3,2994.7609999999995
23129,75.0,Ghauri Town,4,4,1361.255
23130,140.0,Soan Garden,6,5,1905.757
23131,95.0,Chatha Bakhtawar,2,2,1361.255
23134,2200.0,F-8,10,11,196020.0
23135,165.0,G-13,5,4,11979.043999999998
23136,275.0,G-13,6,5,2178.008
23137,80.0,B-17,5,4,2178.008
23139,1200.0,F-8,6,5,70785.0
23141,565.0,I-8,6,6,38659.642
23142,185.0,G-14,6,4,1361.255
23143,950.0,I-8,10,10,65340.0
23144,240.0,Zaraj Housing Scheme,7,6,3267.012
23145,1900.0,F-6,10,11,10890.0
23146,135.0,B-17,3,3,1361.255
23147,135.0,Ghauri Town,6,8,1905.757
23148,275.0,G-13,7,6,2178.008
23172,165.0,G-13,5,4,11979.043999999998
23173,310.0,G-15,7,7,4900.518
23174,300.0,G-15,7,7,38659.642
23175,180.0,G-14,6,4,1361.255
23176,195.0,B-17,5,4,38659.642
23177,350.0,F-11,4,4,18240.817
23178,35.0,Bhara kahu,2,2,816.7529999999999
23180,165.0,CBR Town,6,5,1905.757
23181,165.0,CBR Town,6,5,1905.757
23182,165.0,CBR Town,6,5,1905.757
23183,240.0,DHA Defence,4,3,2994.7609999999995
23184,95.0,E-18,3,4,31036.614
23185,550.0,DHA Defence,5,5,5445.0
23186,155.0,G-13,4,4,1089.004
23187,120.0,I-12,6,4,1633.506
23188,290.0,G-13,7,5,1905.757
23189,250.0,Bahria Town,5,5,2722.51
23231,135.0,Bahria Town,3,3,1361.255
23232,270.0,G-13,6,4,2178.008
23233,480.0,DHA Defence,7,6,5445.0
23234,355.0,G-13,7,6,2722.51
23235,475.0,G-13,8,7,38659.642
23239,360.0,G-13,7,6,2722.51
23241,105.0,Royal Avenue,4,4,1361.255
23242,165.0,G-13,5,4,11979.043999999998
23244,265.0,G-13,6,5,2178.008
23245,160.0,Model Town,5,4,1905.757
23246,220.0,G-15,7,5,1905.757
23247,190.0,G-14,5,4,15246.056
23248,495.0,DHA Defence,6,5,5445.0
23249,45.0,Ghauri Town,2,2,9801.036
23250,210.0,G-11,4,4,15246.056
23251,285.0,Bahria Town,7,5,2722.51
23252,260.0,G-11,4,4,15246.056
23253,160.0,FECHS,6,6,2722.51
23254,23.0,DHA Defence,2,2,1361.255
23255,160.0,FECHS,6,6,3267.012
23300,350.0,DHA Defence,7,6,4356.016
23302,260.0,DHA Defence,4,3,5445.0
23303,28.0,DHA Defence,2,2,1361.255
23304,185.0,I-10,4,4,18240.817
23305,47.0,Al Huda Town,3,2,1633.506
23306,165.0,G-13,5,4,11979.043999999998
23307,260.0,G-13,5,4,2178.008
23308,160.0,PWD Housing Scheme,7,6,2450.259
23309,35.0,Koral Chowk,4,4,1361.255
23313,180.0,Bahria Town,5,5,2178.008
23352,155.0,G-13,4,4,11979.043999999998
23353,165.0,G-13,5,4,11979.043999999998
23354,72.0,Burma Town,5,4,1361.255
23355,250.0,G-13,6,5,2178.008
23359,1100.0,F-6,5,5,5445.0
23360,165.0,CBR Town,5,4,1905.757
23361,170.0,CBR Town,5,4,1905.757
23363,1450.0,F-7,7,6,5445.0
23364,2000.0,F-7,9,8,70785.0
23365,210.0,I-10,4,5,2450.259
23423,480.0,I-8,6,6,29675.359
23424,190.0,G-15,5,5,2178.008
23440,550.0,I-8,8,10,2722.51
23441,260.0,G-15,6,6,38659.642
23442,120.0,Ghauri Town,5,5,15246.056
23443,150.0,National Police Foundation O-9,5,5,27497.351
23444,150.0,CBR Town,5,5,1905.757
23446,160.0,National Police Foundation O-9,5,5,2722.51
23447,47.0,Alipur Farash,2,2,1089.004
23448,125.0,Naval Anchorage,4,4,1361.255
23449,93.0,Naval Anchorage,2,2,1361.255
23450,88.0,Naval Anchorage,2,2,1361.255
23470,460.0,DHA Defence,6,6,5445.0
23471,47.0,Ali Pur,2,2,1089.004
23472,155.0,Faisal Town - F-18,5,5,2178.008
23473,370.0,G-11,6,6,2178.008
23489,270.0,G-11,5,5,15246.056
23490,270.0,G-11,5,5,1361.255
23492,415.0,E-11,6,5,2722.51
23494,430.0,E-11,7,6,3267.012
23496,135.0,PWD Housing Scheme,5,5,25319.343
23497,95.0,CBR Town,4,4,1905.757
23498,185.0,PWD Housing Scheme,7,7,38659.642
23499,140.0,Soan Garden,6,4,1633.506
23500,425.0,E-11,6,5,2722.51
23525,530.0,DHA Defence,7,6,5445.0
23527,550.0,Emaar Canyon Views,5,5,65340.0
23529,580.0,I-8,6,6,2994.7609999999995
23532,175.0,G-13,5,4,11979.043999999998
23533,480.0,DHA Defence,7,6,5445.0
23534,510.0,DHA Defence,8,7,5445.0
23536,330.0,Bahria Town,7,6,39476.395
23538,144.0,G-13,5,4,1089.004
